ISSN,Journal Title,OA Model,Currency,Price
1464-3383,Combinatorial Chemistry - an Online journal,Open Access,USD,0
0010-2180,Combustion and Flame,Hybrid,USD,2100
1007-5704,Communications in Nonlinear Science and Numerical Simulation,Hybrid,USD,2200
0967-067X,Communist and Post-Communist Studies,Hybrid,USD,1800
1095-6433,"Comparative Biochemistry and Physiology, Part A",Hybrid,USD,3000
1096-4959,"Comparative Biochemistry and Physiology, Part B",Hybrid,USD,3000
1532-0456,"Comparative Biochemistry and Physiology, Part C",Hybrid,USD,3000
1744-117X,Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,Hybrid,USD,3000
0147-9571,"Comparative Immunology, Microbiology and Infectious Diseases",Hybrid,USD,3300
1744-3881,Complementary Therapies in Clinical Practice,Hybrid,USD,2500
0965-2299,Complementary Therapies in Medicine,Hybrid,USD,2100
2452-2139,Composites Communications,Hybrid,USD,1500
1359-835X,Composites Part A,Hybrid,USD,3300
1359-8368,Composites Part B,Hybrid,USD,2700
0266-3538,Composites Science and Technology,Hybrid,USD,3300
0263-8223,Composite Structures,Hybrid,USD,2700
0010-440X,Comprehensive Psychiatry,Hybrid,USD,2500
1631-0691,Comptes rendus - Biologies,Hybrid,USD,1600
1631-0748,Comptes rendus - Chimie,Hybrid,USD,1400
1631-0713,Comptes rendus - Geoscience,Hybrid,USD,1300
1631-073X,Comptes rendus - Mathématique,Hybrid,USD,1100
1631-0721,Comptes rendus - Mécanique,Hybrid,USD,1300
1631-0683,Comptes rendus - Palevol,Hybrid,USD,1100
1631-0705,Comptes rendus - Physique,Hybrid,USD,1300
2001-0370,Computational and Structural Biotechnology Journal,Open Access,EUR,1100
2210-271X,Computational and Theoretical Chemistry,Hybrid,USD,1900
1476-9271,Computational Biology and Chemistry,Hybrid,USD,2600
2352-2143,Computational Condensed Matter,Hybrid,USD,1000
0925-7721,Computational Geometry: Theory and Applications,Hybrid,USD,2400
0927-0256,Computational Materials Science,Hybrid,USD,3000
0167-9473,Computational Statistics and Data Analysis,Hybrid,USD,1300
0010-4485,Computer-Aided Design,Hybrid,USD,2400
0167-8396,Computer Aided Geometric Design,Hybrid,USD,2400
0140-3664,Computer Communications,Hybrid,USD,2400
0895-6111,Computerized Medical Imaging and Graphics,Hybrid,USD,2500
1477-8424,"Computer Languages, Systems & Structures",Hybrid,USD,1500
0267-3649,Computer Law & Security Review: The International Journal of Technology Law and Practice,Hybrid,USD,2400
0169-2607,Computer Methods and Programs in Biomedicine,Hybrid,USD,3000
0045-7825,Computer Methods in Applied Mechanics and Engineering,Hybrid,USD,3750
1389-1286,Computer Networks,Hybrid,USD,2400
0010-4655,Computer Physics Communications,Hybrid,USD,2400
0098-1354,Computers and Chemical Engineering,Hybrid,USD,3200
8755-4615,Computers and Composition,Hybrid,USD,1100
0045-7906,Computers and Electrical Engineering,Hybrid,USD,2400
0168-1699,Computers and Electronics in Agriculture,Hybrid,USD,2700
0045-7930,Computers and Fluids,Hybrid,USD,2600
0098-3004,Computers and Geosciences,Hybrid,USD,3200
0266-352X,Computers and Geotechnics,Hybrid,USD,2500
0898-1221,Computers and Mathematics with Applications,Hybrid,USD,1500
0305-0548,Computers and Operations Research,Hybrid,USD,1100
0045-7949,Computers and Structures,Hybrid,USD,3300
1574-0137,Computer Science Review,Hybrid,USD,2400
0360-1315,Computers & Education,Hybrid,USD,1950
0198-9715,"Computers, Environment and Urban Systems",Hybrid,USD,1950
0097-8493,Computers & Graphics,Hybrid,USD,2400
0010-4825,Computers in Biology and Medicine,Hybrid,USD,2500
0360-8352,Computers & Industrial Engineering,Hybrid,USD,1800
0747-5632,Computers in Human Behavior,Hybrid,USD,1950
0166-3615,Computers in Industry,Hybrid,USD,3100
0885-2308,Computer Speech & Language,Hybrid,USD,2400
0167-4048,Computers & Security,Hybrid,USD,2600
0920-5489,Computer Standards & Interfaces,Hybrid,USD,1900
1077-3142,Computer Vision and Image Understanding,Hybrid,USD,2400
1053-8100,Consciousness and Cognition,Hybrid,USD,2350
0950-0618,Construction and Building Materials,Hybrid,USD,3200
1367-0484,Contact Lens and Anterior Eye,Hybrid,USD,3000
0186-1042,Contaduría y Administración,Open Access,USD,0
1551-7144,Contemporary Clinical Trials,Hybrid,USD,3400
2451-8654,Contemporary Clinical Trials Communications,Open Access,USD,1950
0361-476X,Contemporary Educational Psychology,Hybrid,USD,1800
0278-4343,Continental Shelf Research,Hybrid,USD,3100
0010-7824,Contraception,Hybrid,USD,3200
0967-0661,Control Engineering Practice,Hybrid,USD,3100
0010-8545,Coordination Chemistry Reviews,Hybrid,USD,3300
0010-8650,Cor et Vasa,Hybrid,USD,3000
0010-938X,Corrosion Science,Hybrid,USD,3300
0010-9452,Cortex,Hybrid,USD,3000
0195-6671,Cretaceous Research,Hybrid,USD,3300
0749-0704,Critical Care Clinics,Hybrid,USD,3000
0899-5885,Critical Care Nursing Clinics of North America,Hybrid,USD,3000
1045-2354,Critical Perspectives on Accounting,Hybrid,USD,1100
1040-8428,Critical Reviews in Oncology / Hematology,Hybrid,USD,2600
0261-2194,Crop Protection,Hybrid,USD,2600
0011-2240,Cryobiology,Hybrid,USD,2500
0011-2275,Cryogenics,Hybrid,USD,2200
0210-0266,Cuadernos de Economía,Hybrid,USD,3000
1405-9193,Cuestiones Constitucionales,Open Access,USD,0
1567-1739,Current Applied Physics,Hybrid,USD,2200
0960-9822,Current Biology,Hybrid,USD,5200
2352-0817,Current Medicine Research and Practice,Hybrid,USD,3000
2352-1546,Current Opinion in Behavioral Sciences,Hybrid,USD,3800
0958-1669,Current Opinion in Biotechnology,Hybrid,USD,4150
0955-0674,Current Opinion in Cell Biology,Hybrid,USD,4150
1367-5931,Current Opinion in Chemical Biology,Hybrid,USD,4150
2211-3398,Current Opinion in Chemical Engineering,Hybrid,USD,3750
1359-0294,Current Opinion in Colloid & Interface Science,Hybrid,USD,3900
1877-3435,Current Opinion in Environmental Sustainability,Hybrid,USD,3900
2214-7993,Current Opinion in Food Science,Hybrid,USD,3000
0959-437X,Current Opinion in Genetics & Development,Hybrid,USD,4150
0952-7915,Current Opinion in Immunology,Hybrid,USD,3900
2214-5745,Current Opinion in Insect Science,Hybrid,USD,3800
1369-5274,Current Opinion in Microbiology,Hybrid,USD,4150
0959-4388,Current Opinion in Neurobiology,Hybrid,USD,4150
1471-4892,Current Opinion in Pharmacology,Hybrid,USD,3900
1369-5266,Current Opinion in Plant Biology,Hybrid,USD,4150
2352-250X,Current Opinion in Psychology,Hybrid,USD,3750
1359-0286,Current Opinion in Solid State & Materials Science,Hybrid,USD,3750
0959-440X,Current Opinion in Structural Biology,Hybrid,USD,4150
1879-6257,Current Opinion in Virology,Hybrid,USD,4150
2214-6628,Current Plant Biology,Open Access,USD,2000
0147-0272,Current Problems in Cancer,Hybrid,USD,2500
0146-2806,Current Problems in Cardiology,Hybrid,USD,2400
0363-0188,Current Problems in Diagnostic Radiology,Hybrid,USD,2500
1538-5442,Current Problems in Pediatric and Adolescent Health Care,Hybrid,USD,2000
0011-3840,Current Problems in Surgery,Hybrid,USD,3000
2452-3186,Current Research in Translational Medicine,Hybrid,EUR,3000
1877-1297,Currents in Pharmacy Teaching and Learning,Hybrid,USD,2500
0011-393X,Current Therapeutic Research,Open Access,USD,1500
1043-4666,Cytokine,Hybrid,USD,3400
1359-6101,Cytokine and Growth Factor Reviews,Hybrid,USD,3000
1465-3249,Cytotherapy,Hybrid,USD,3300
2352-3409,Data in Brief,Open Access,USD,500
0169-023X,Data & Knowledge Engineering,Hybrid,USD,3100
0167-9236,Decision Support Systems,Hybrid,USD,1100
0967-0637,Deep-Sea Research Part I,Hybrid,USD,3300
0967-0645,Deep-Sea Research Part II,Hybrid,USD,3200
2214-9147,Defence Technology,Open Access,USD,0
1125-7865,Dendrochronologia,Hybrid,USD,1500
0011-8486,Dental Abstracts,Hybrid,USD,3000
0011-8532,Dental Clinics of North America,Hybrid,USD,3000
0109-5641,Dental Materials,Hybrid,USD,3000
1027-8117,Dermatologica Sinica,Open Access,USD,0
0733-8635,Dermatologic Clinics,Hybrid,USD,3000
0011-9164,Desalination,Hybrid,USD,3600
0142-694X,Design Studies,Hybrid,USD,2500
0415-6412,Deutsche Zeitschrift fuer Akupunktur,Hybrid,USD,1700
0145-305X,Developmental and Comparative Immunology,Hybrid,USD,3400
0012-1606,Developmental Biology,Hybrid,USD,2350
1534-5807,Developmental Cell,Hybrid,USD,5200
1878-9293,Developmental Cognitive Neuroscience,Open Access,USD,1750
0273-2297,Developmental Review,Hybrid,USD,1800
2352-7285,Development Engineering,Open Access,USD,1500
1262-3636,Diabetes and Metabolism,Hybrid,EUR,2000
1871-4021,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,Hybrid,USD,3000
0168-8227,Diabetes Research and Clinical Practice,Hybrid,USD,3200
2211-5684,Diagnostic and Interventional Imaging,Hybrid,USD,3000
1756-2317,Diagnostic Histopathology,Hybrid,USD,3000
0732-8893,Diagnostic Microbiology & Infectious Disease,Hybrid,USD,3000
0925-9635,Diamond & Related Materials,Hybrid,USD,2500
0926-2245,Differential Geometry and its Applications,Hybrid,USD,1500
0301-4681,Differentiation,Hybrid,USD,3000
1590-8658,Digestive and Liver Disease,Hybrid,USD,3000
2212-0548,Digital Applications in Archaeology and Cultural Heritage,Hybrid,USD,2000
1742-2876,Digital Investigation,Hybrid,USD,2600
1051-2004,Digital Signal Processing,Hybrid,USD,2400
1936-6574,Disability and Health Journal,Hybrid,USD,1350
2211-6958,"Discourse, Context & Media",Hybrid,USD,1800
0166-218X,Discrete Applied Mathematics,Hybrid,USD,1500
0012-365X,Discrete Mathematics,Hybrid,USD,1500
1572-5286,Discrete Optimization,Hybrid,USD,1500
0011-5029,Disease-a-Month,Hybrid,USD,2000
0141-9382,Displays,Hybrid,USD,2400
1568-7864,DNA Repair,Hybrid,USD,3700
0739-7240,Domestic Animal Endocrinology,Hybrid,USD,3000
1624-5687,Douleurs Evaluation - Diagnostic - Traitement,Hybrid,EUR,3000
1629-6583,Droit Déontologie & Soin,Hybrid,EUR,3000
0376-8716,Drug and Alcohol Dependence,Hybrid,USD,3200
1359-6446,Drug Discovery Today,Hybrid,USD,4050
1740-6757,Drug Discovery Today: Disease Models,Hybrid,USD,3750
1740-6749,Drug Discovery Today: Technologies,Hybrid,USD,3750
1347-4367,Drug Metabolism and Pharmacokinetics,Hybrid,USD,3000
1368-7646,Drug Resistance Updates,Hybrid,USD,3000
0143-7208,Dyes and Pigments,Hybrid,USD,3300
0377-0265,Dynamics of Atmospheres and Oceans,Hybrid,USD,2500
0885-2006,Early Childhood Research Quarterly,Hybrid,USD,1800
0378-3782,Early Human Development,Hybrid,USD,2500
0012-821X,Earth and Planetary Science Letters,Hybrid,USD,3000
0012-8252,Earth-Science Reviews,Hybrid,USD,3550
1471-0153,Eating Behaviors,Hybrid,USD,1800
2352-3964,EBioMedicine,Open Access,USD,3200
1642-3593,Ecohydrology & Hydrobiology,Hybrid,EUR,3000
1476-945X,Ecological Complexity,Hybrid,USD,2500
0921-8009,Ecological Economics,Hybrid,USD,3700
0925-8574,Ecological Engineering,Hybrid,USD,2600
2405-9854,Ecological Genetics and Genomics,Hybrid,USD,3000
1470-160X,Ecological Indicators,Hybrid,USD,3400
1574-9541,Ecological Informatics,Hybrid,USD,2500
0304-3800,Ecological Modelling,Hybrid,USD,3100
1517-7580,EconomiA,Open Access,USD,0
0185-0849,Economía Informa,Open Access,USD,0
1665-952X,Economía UNAM,Open Access,USD,0
0313-5926,Economic Analysis and Policy,Hybrid,USD,1800
0264-9993,Economic Modelling,Hybrid,USD,820
1570-677X,Economics and Human Biology,Hybrid,USD,1800
0165-1765,Economics Letters,Hybrid,USD,1130
0272-7757,Economics of Education Review,Hybrid,USD,1800
2212-0122,Economics of Transportation,Hybrid,USD,1800
0939-3625,Economic Systems,Hybrid,USD,1100
2212-0416,Ecosystem Services,Hybrid,USD,3300
0147-6513,Ecotoxicology and Environmental Safety,Hybrid,USD,2500
1575-1813,Educación Médica,Open Access,USD,0
0187-893X,Educación Química,Open Access,USD,0
1747-938X,Educational Research Review,Hybrid,USD,1800
1749-7728,Education for Chemical Engineers,Hybrid,USD,3000
1110-1849,Egyptian Journal of Anaesthesia,Open Access,USD,0
2314-808X,Egyptian Journal of Basic and Applied Sciences,Open Access,USD,0
0422-7638,Egyptian Journal of Chest Diseases and Tuberculosis,Open Access,USD,0
2090-0740,"Egyptian Journal of Ear, Nose, Throat and Allied Sciences",Open Access,USD,0
1110-8630,Egyptian Journal of Medical Human Genetics,Open Access,USD,0
1110-0621,Egyptian Journal of Petroleum,Open Access,USD,0
1110-6638,Egyptian Pediatric Association Gazette,Open Access,USD,0
1359-6349,EJC Supplements,Open Access,USD,0
2405-6553,EJVES Short Reports,Open Access,USD,500
0261-3794,Electoral Studies,Hybrid,USD,1800
0378-7796,Electric Power Systems Research,Hybrid,USD,2500
1388-2481,Electrochemistry Communications,Hybrid,USD,3050
0013-4686,Electrochimica Acta,Hybrid,USD,3400
1567-4223,Electronic Commerce Research and Applications,Hybrid,USD,1900
0717-3458,Electronic Journal of Biotechnology,Open Access,USD,1000
1571-0653,Electronic Notes in Discrete Mathematics,Hybrid,USD,3000
1571-0661,Electronic Notes in Theoretical Computer Science,Open Access,USD,0
0733-8627,Emergency Medicine Clinics of North America,Hybrid,USD,3000
2405-6650,Emerging Contaminants,Open Access,USD,1500
1566-0141,Emerging Markets Review,Hybrid,USD,1100
1755-4586,"Emotion, Space and Society",Hybrid,USD,1800
0160-9327,Endeavour,Hybrid,USD,750
2530-0164,"Endocrinología, Diabetes y Nutrición",Hybrid,USD,3000
2530-0180,"Endocrinología, Diabetes y Nutrición (English ed.)",Hybrid,USD,3000
0889-8529,Endocrinology and Metabolism Clinics of North America,Hybrid,USD,3000
0360-5442,Energy,Hybrid,USD,3150
0378-7788,Energy & Buildings,Hybrid,USD,3000
0196-8904,Energy Conversion and Management,Hybrid,USD,3100
0140-9883,Energy Economics,Hybrid,USD,1950
0973-0826,Energy for Sustainable Development,Hybrid,USD,2750
0301-4215,Energy Policy,Hybrid,USD,3000
1876-6102,Energy Procedia,Open Access,USD,0
2352-4847,Energy Reports,Open Access,USD,1500
2214-6296,Energy Research & Social Science,Hybrid,USD,2700
2405-8297,Energy Storage Materials,Hybrid,EUR,1895
2211-467X,Energy Strategy Reviews,Hybrid,USD,2500
2405-6502,eNeurologicalSci,Open Access,EUR,1400
0213-005X,Enfermedades Infecciosas y Microbiologia Clinica,Hybrid,USD,3000
1130-8621,Enfermeria Clinica,Hybrid,EUR,1500
1130-2399,Enfermería intensiva,Hybrid,USD,3000
1665-7063,Enfermería Universitaria,Open Access,USD,0
0955-7997,Engineering Analysis with Boundary Elements,Hybrid,USD,2500
0952-1976,Engineering Applications of Artificial Intelligence,Hybrid,USD,2400
1350-6307,Engineering Failure Analysis,Hybrid,USD,2500
0013-7944,Engineering Fracture Mechanics,Hybrid,USD,2500
0013-7952,Engineering Geology,Hybrid,USD,2500
1881-8366,"Engineering in Agriculture, Environment and Food",Hybrid,USD,3000
2215-0986,"Engineering Science and Technology, an International Journal",Open Access,USD,0
0141-0296,Engineering Structures,Hybrid,USD,2700
0889-4906,English for Specific Purposes,Hybrid,USD,1800
1875-9521,Entertainment Computing,Hybrid,USD,2400
0098-8472,Environmental and Experimental Botany,Hybrid,USD,3000
2211-4645,Environmental Development,Hybrid,USD,2500
0195-9255,Environmental Impact Assessment Review,Hybrid,USD,3300
2210-4224,Environmental Innovation and Societal Transitions,Hybrid,USD,2600
1364-8152,Environmental Modelling and Software,Hybrid,USD,3300
2215-1532,"Environmental Nanotechnology, Monitoring & Management",Hybrid,USD,1950
0269-7491,Environmental Pollution,Hybrid,USD,3400
0013-9351,Environmental Research,Hybrid,USD,3400
1462-9011,Environmental Science and Policy,Hybrid,USD,3400
1382-6689,Environmental Toxicology and Pharmacology,Hybrid,USD,3000
0160-4120,Environment International,Hybrid,USD,3750
0141-0229,Enzyme and Microbial Technology,Hybrid,USD,3000
1755-4365,Epidemics,Open Access,USD,1890
1525-5050,Epilepsy & Behavior,Hybrid,USD,2750
2213-3232,Epilepsy & Behavior Case Reports,Open Access,USD,550
0920-1211,Epilepsy Research,Hybrid,USD,2750
0272-7714,"Estuarine, Coastal and Shelf Science",Hybrid,USD,3100
0185-2620,Estudios de Historia Moderna y Contemporánea de México,Open Access,USD,0
1870-9060,Estudios de Historia Novohispana,Open Access,USD,0
0123-5923,Estudios Gerenciales,Open Access,EUR,0
0185-1616,Estudios Políticos,Open Access,USD,0
1765-4629,Ethique et Santé,Hybrid,EUR,3000
2212-9685,EuPA Open Proteomics,Open Access,USD,1700
1879-7296,"European Annals of Otorhinolaryngology, Head and Neck diseases",Hybrid,USD,3000
0014-2921,European Economic Review,Hybrid,USD,1800
1878-7649,European Geriatric Medicine,Hybrid,USD,1700
1161-0301,European Journal of Agronomy,Hybrid,USD,3300
0959-8049,European Journal of Cancer,Hybrid,USD,3750
0171-9335,European Journal of Cell Biology,Hybrid,USD,2500
0195-6698,European Journal of Combinatorics,Hybrid,USD,1500
0947-3580,European Journal of Control,Hybrid,USD,3000
1888-8992,European Journal of Education and Psychology,Open Access,USD,0
1876-3820,European Journal of Integrative Medicine,Hybrid,USD,1800
0953-6205,European Journal of Internal Medicine,Hybrid,USD,2500
0997-7538,European Journal of Mechanics / A Solids,Hybrid,USD,2500
0997-7546,European Journal of Mechanics / B Fluids,Hybrid,USD,2500
1769-7212,European Journal of Medical Genetics,Hybrid,USD,3000
0223-5234,European Journal of Medicinal Chemistry,Hybrid,USD,3250
0301-2115,European Journal of Obstetrics and Gynecology,Hybrid,USD,2500
1462-3889,European Journal of Oncology Nursing,Hybrid,USD,2500
0377-2217,European Journal of Operational Research,Hybrid,USD,1800
1090-3798,European Journal of Paediatric Neurology,Hybrid,USD,2750
0928-0987,European Journal of Pharmaceutical Sciences,Hybrid,USD,3500
0939-6411,European Journal of Pharmaceutics and Biopharmaceutics,Hybrid,USD,3000
0014-2999,European Journal of Pharmacology,Hybrid,USD,3400
0176-2680,European Journal of Political Economy,Hybrid,USD,1800
0932-4739,European Journal of Protistology,Hybrid,USD,1800
0720-048X,European Journal of Radiology,Hybrid,USD,3000
2352-0477,European Journal of Radiology Open,Open Access,USD,2000
1164-5563,European Journal of Soil Biology,Hybrid,USD,2500
0748-7983,European Journal of Surgical Oncology,Hybrid,EUR,2260
1078-5884,European Journal of Vascular & Endovascular Surgery,Hybrid,USD,3300
0263-2373,European Management Journal,Hybrid,USD,1100
0924-977X,European Neuropsychopharmacology,Hybrid,USD,3000
0014-3057,European Polymer Journal,Hybrid,USD,3400
0924-9338,European Psychiatry,Hybrid,USD,3000
2212-764X,European Research in Telemedicine/La Recherche Européenne en Télémédecine,Hybrid,USD,3000
2444-8834,European research on management and business economics,Open Access,USD,0
0302-2838,European Urology,Hybrid,USD,5000
2405-4569,European Urology Focus,Hybrid,USD,3000
1569-9056,European Urology Supplements,Hybrid,USD,3000
0149-7189,Evaluation and Program Planning,Hybrid,USD,1800
1090-5138,Evolution and Human Behavior,Hybrid,USD,3000
0014-4800,Experimental and Molecular Pathology,Hybrid,USD,3000
0940-2993,Experimental and Toxicologic Pathology,Hybrid,USD,2050
0014-4827,Experimental Cell Research,Hybrid,USD,2350
0014-4835,Experimental Eye Research,Hybrid,USD,2750
0531-5565,Experimental Gerontology,Hybrid,USD,2750
0301-472X,Experimental Hematology,Hybrid,USD,2650
0014-4886,Experimental Neurology,Hybrid,USD,3000
0014-4894,Experimental Parasitology,Hybrid,USD,2200
0894-1777,Experimental Thermal and Fluid Science,Hybrid,USD,2500
0957-4174,Expert Systems With Applications,Hybrid,USD,2600
0014-4983,Explorations in Economic History,Hybrid,USD,1800
1550-8307,EXPLORE,Hybrid,USD,1700
0723-0869,Expositiones Mathematicae,Hybrid,USD,1300
1064-7406,Facial Plastic Surgery Clinics of North America,Hybrid,USD,3000
0015-0282,Fertility and Sterility,Hybrid,USD,3500
0378-4290,Field Crops Research,Hybrid,USD,3400
1544-6123,Finance Research Letters,Hybrid,USD,1100
0168-874X,Finite Elements in Analysis & Design,Hybrid,USD,2500
1071-5797,Finite Fields and Their Applications,Hybrid,USD,1500
0379-7112,Fire Safety Journal,Hybrid,USD,2500
1050-4648,Fish and Shellfish Immunology,Hybrid,USD,3800
0165-7836,Fisheries Research,Hybrid,USD,3100
0211-5638,Fisioterapia,Hybrid,USD,3000
0367-326X,Fitoterapia,Hybrid,USD,1800
0367-2530,Flora,Hybrid,USD,1500
0955-5986,Flow Measurement and Instrumentation,Hybrid,USD,2500
0378-3812,Fluid Phase Equilibria,Hybrid,USD,2100
1134-2072,FMC. Formación médica continuada en atención primaria,Hybrid,USD,3000
0960-3085,Food and Bioproducts Processing,Hybrid,USD,3000
0278-6915,Food and Chemical Toxicology,Hybrid,USD,2800
2405-6766,Food and Waterborne Parasitology,Open Access,USD,1800
2212-4292,Food Bioscience,Hybrid,USD,3000
0308-8146,Food Chemistry,Hybrid,USD,2800
0956-7135,Food Control,Hybrid,USD,3500
0268-005X,Food Hydrocolloids,Hybrid,USD,4050
0740-0020,Food Microbiology,Hybrid,USD,3000
2214-2894,Food Packaging and Shelf Life,Hybrid,USD,3000
0306-9192,Food Policy,Hybrid,USD,1500
0950-3293,Food Quality and Preference,Hybrid,USD,3200
0963-9969,Food Research International,Hybrid,USD,3800
2213-4530,Food Science and Human Wellness,Open Access,USD,0
2213-3291,Food Structure,Hybrid,USD,3000
2352-2496,Food Webs,Hybrid,USD,1750
1083-7515,Foot and Ankle Clinics of North America,Hybrid,USD,3000
1268-7731,Foot and Ankle Surgery,Hybrid,USD,2000
0379-0738,Forensic Science International,Hybrid,USD,2500
1872-4973,Forensic Science International: Genetics,Hybrid,USD,3200
1875-1768,Forensic Science International: Genetics Supplement Series,Hybrid,USD,3000
1875-1741,Forensic Science International Supplement Series,Hybrid,USD,3000
0378-1127,Forest Ecology and Management,Hybrid,USD,3800
1389-9341,Forest Policy and Economics,Hybrid,USD,2500
0891-5849,Free Radical Biology and Medicine,Hybrid,USD,2800
0091-3022,Frontiers in Neuroendocrinology,Hybrid,USD,3000
2095-2635,Frontiers of Architectural Research,Open Access,USD,0
0016-2361,Fuel,Hybrid,USD,3850
0378-3820,Fuel Processing Technology,Hybrid,USD,3500
1878-6146,Fungal Biology,Hybrid,USD,1800
1749-4613,Fungal Biology Reviews,Hybrid,USD,3000
1754-5048,Fungal Ecology,Hybrid,USD,3000
1087-1845,Fungal Genetics and Biology,Hybrid,USD,2350
0920-3796,Fusion Engineering and Design,Hybrid,USD,1900
1619-9987,Fuss und Sprunggelenk,Hybrid,USD,1700
2314-7210,Future Business Journal,Open Access,USD,0
2314-7180,Future Dental Journal,Open Access,USD,0
0167-739X,Future Generation Computer Systems,Hybrid,USD,3100
2314-7245,Future Journal of Pharmaceutical sciences,Open Access,USD,0
0016-3287,Futures,Hybrid,USD,1200
1616-8658,Fuzzy Information and Engineering,Open Access,USD,0
0165-0114,Fuzzy Sets and Systems,Hybrid,USD,3100
1665-9201,Gaceta Mexicana de Oncología,Open Access,USD,0
0213-9111,Gaceta Sanitaria,Open Access,USD,0
0966-6362,Gait & Posture,Hybrid,USD,3500
0899-8256,Games and Economic Behavior,Hybrid,USD,1100
0210-5705,Gastroenterologia y Hepatologia,Hybrid,EUR,2000
2444-3824,Gastroenterología y Hepatología (English Edition),Hybrid,EUR,2000
0016-5085,Gastroenterology,Hybrid,USD,3000
0889-8553,Gastroenterology Clinics of North America,Hybrid,USD,3000
0016-5107,Gastrointestinal Endoscopy,Hybrid,USD,3000
1052-5157,Gastrointestinal Endoscopy Clinics of North America,Hybrid,USD,3300
0378-1119,Gene,Hybrid,USD,3400
1567-133X,Gene Expression Patterns,Hybrid,USD,1800
0016-6480,General and Comparative Endocrinology,Hybrid,USD,3000
0163-8343,General Hospital Psychiatry,Hybrid,USD,3000
2452-0144,Gene Reports,Hybrid,USD,3000
2352-3042,Genes & Diseases,Open Access,USD,0
0888-7543,Genomics,Hybrid,USD,2200
2213-5960,Genomics Data,Open Access,USD,500
1672-0229,"Genomics, Proteomics & Bioinformatics",Open Access,USD,0
0016-6995,Geobios,Hybrid,USD,3000
0016-7037,Geochimica et Cosmochimica Acta,Hybrid,USD,3000
0016-7061,Geoderma,Hybrid,USD,3200
2352-0094,Geoderma Regional,Hybrid,USD,2500
1674-9847,Geodesy and Geodynamics,Open Access,USD,0
0016-7185,Geoforum,Hybrid,USD,1950
2352-3808,Geomechanics for Energy and the Environment,Hybrid,USD,2500
0169-555X,Geomorphology,Hybrid,USD,3500
2214-2428,GeoResJ,Hybrid,USD,2350
1674-9871,Geoscience Frontiers,Open Access,USD,0
0266-1144,Geotextiles and Geomembranes,Hybrid,USD,2500
0375-6505,Geothermics,Hybrid,USD,2650
0197-4572,Geriatric Nursing,Hybrid,USD,2000
1121-4171,Giornale Italiano di Endodonzia,Open Access,USD,0
0921-8181,Global and Planetary Change,Hybrid,USD,3000
2351-9894,Global Ecology and Conservation,Open Access,USD,1500
0959-3780,Global Environmental Change,Hybrid,USD,3750
1044-0283,Global Finance Journal,Hybrid,USD,1100
2211-9124,Global Food Security,Hybrid,USD,2700
2211-8160,Global Heart,Hybrid,USD,3300
1342-937X,Gondwana Research,Hybrid,USD,3300
0740-624X,Government Information Quarterly,Hybrid,USD,1100
1524-0703,Graphical Models,Hybrid,USD,2400
2352-801X,Groundwater for Sustainable Development,Hybrid,USD,1500
1096-6374,Growth Hormone & IGF Research,Hybrid,USD,2500
0090-8258,Gynecologic Oncology,Hybrid,USD,2800
2352-5789,Gynecologic Oncology Reports,Open Access,USD,550
2468-7189,Gynécologie Obstétrique Fertilité & Sénologie,Hybrid,EUR,3000
2213-3070,Gynecology and Minimally Invasive Therapy,Open Access,USD,0
0197-3975,Habitat International,Hybrid,USD,1100
0749-0712,Hand Clinics,Hybrid,USD,3000
2468-1229,Hand Surgery and Rehabilitation,Hybrid,USD,3000
1568-9883,Harmful Algae,Hybrid,USD,3300
1978-3019,HAYATI Journal of Biosciences,Open Access,USD,0
1687-4048,HBRC Journal,Open Access,USD,65
1353-8292,Health and Place,Hybrid,USD,2400
2213-0764,Healthcare,Hybrid,USD,3000
0168-8510,Health policy,Hybrid,USD,3200
2211-8837,Health Policy and Technology,Hybrid,USD,3000
2452-3011,Health Professions Education,Open Access,USD,0
1025-9848,Health SA Gesondheid,Open Access,USD,0
0378-5955,Hearing Research,Hybrid,USD,2400
1551-7136,Heart Failure Clinics,Hybrid,USD,3000
0147-9563,Heart & Lung,Hybrid,USD,2500
1443-9506,"Heart, Lung and Circulation",Hybrid,USD,2500
1547-5271,Heart Rhythm,Hybrid,USD,3300
2214-0271,HeartRhythm Case Reports,Open Access,USD,850
2405-8440,Heliyon,Open Access,USD,1250
1658-3876,Hematology/Oncology and Stem Cell Therapy,Open Access,USD,0
0889-8588,Hematology/Oncology Clinics of North America,Hybrid,USD,3000
2531-1379,"Hematology, Transfusion and Cell Therapy",Open Access,USD,0
1574-1818,High Energy Density Physics,Hybrid,USD,2200
1889-1837,Hipertension y riesgo vascular,Hybrid,USD,3000
0315-0860,Historia Mathematica,Hybrid,USD,1300
1475-4916,Homeopathy,Hybrid,USD,2500
0018-442X,HOMO - Journal of Comparative Human Biology,Hybrid,USD,1800
1569-1861,Hong Kong Journal of Occupational Therapy,Open Access,USD,0
1013-7025,Hong Kong Physiotherapy Journal,Open Access,USD,0
0018-506X,Hormones and Behavior,Hybrid,USD,3000
1365-182X,HPB,Hybrid,USD,3000
0198-8859,Human Immunology,Hybrid,USD,2650
0167-9457,Human Movement Science,Hybrid,USD,1800
