"Online
ISSN",Journal Title,,,"APC Amount
(USD $)"
1460-2695,Fatigue & Fracture of Engineering Materials & Structures,Hybrid,USD,3800
1742-4658,FEBS Journal,Hybrid,USD,3800
1873-3468,FEBS Letters,Hybrid,USD,3000
1522-239X,Feddes Repertorium,Hybrid,USD,2500
1468-0408,Financial Accountability & Management,Hybrid,USD,2500
1755-053X,Financial Management,Hybrid,USD,3000
1468-0416,"Financial Markets, Institutions & Instruments",Hybrid,USD,2500
2573-8615,Financial Planning Review,Hybrid,USD,3000
1540-6288,Financial Review - The,Hybrid,USD,3000
1099-1018,Fire and Materials,Hybrid,USD,2500
1475-5890,Fiscal Studies,Hybrid,USD,3000
1467-2979,Fish and Fisheries,Hybrid,USD,3800
1548-8446,Fisheries,Hybrid,USD,3000
1365-2400,Fisheries Management and Ecology,Hybrid,USD,3400
1365-2419,Fisheries Oceanography,Hybrid,USD,3700
1099-1026,Flavour and Fragrance Journal,Hybrid,USD,3600
1944-9720,Foreign Language Annals,Hybrid,USD,3000
1439-0329,Forest Pathology,Hybrid,USD,3500
1521-3978,Fortschritte der Physik - Progress of Physics,Hybrid,USD,3500
1365-2427,Freshwater Biology,Hybrid,USD,3700
1615-6854,Fuel Cells,Hybrid,USD,3000
1365-2435,Functional Ecology,Hybrid,USD,3000
1472-8206,Fundamental & Clinical Pharmacology,Hybrid,USD,2500
2573-5152,Futures & Foresight Science,Hybrid,USD,3000
1522-2608,GAMM-Mitteilungen,Hybrid,USD,2500
1468-0424,Gender & History,Hybrid,USD,2500
1468-0432,"Gender, Work & Organization",Hybrid,USD,3100
1939-3466,General Anthropology,Hybrid,USD,3000
1365-2443,Genes to Cells,Hybrid,USD,3800
1601-183X,"Genes, Brain and Behavior",Hybrid,USD,3000
1098-2264,"Genes, Chromosomes & Cancer",Hybrid,USD,3600
1526-968X,Genesis,Hybrid,USD,3600
1098-2272,Genetic Epidemiology,Hybrid,USD,4100
1520-6548,Geoarchaeology,Hybrid,USD,2500
1472-4669,Geobiology,Hybrid,USD,3700
1525-2027,"Geochemistry, Geophysics, Geosystems",Hybrid,USD,3500
1538-4632,Geographical Analysis,Hybrid,USD,3000
1475-4959,Geographical Journal - The,Hybrid,USD,3000
1745-5871,Geographical Research,Hybrid,USD,2900
1931-0846,Geographical Review,Hybrid,USD,3000
1749-8198,Geography Compass,Hybrid,USD,2500
1099-1034,Geological Journal,Hybrid,USD,3500
1365-2451,Geology Today,Hybrid,USD,3000
1365-2478,Geophysical Prospecting,Hybrid,USD,2500
1944-8007,Geophysical Research Letters,Hybrid,USD,2500
1751-908X,Geostandards and Geoanalytical Research,Hybrid,USD,3600
1447-0594,Geriatrics & Gerontology International,Hybrid,USD,3000
1468-0475,German Economic Review,Hybrid,USD,3000
1468-0483,German Life and Letters,Hybrid,USD,2500
1756-1183,German Quarterly - The,Hybrid,USD,3000
1741-2358,Gerodontology,Hybrid,USD,2500
1098-1136,Glia,Hybrid,USD,4200
1944-9224,Global Biogeochemical Cycles,Hybrid,USD,3500
1365-2486,Global Change Biology,Hybrid,USD,4500
1466-8238,Global Ecology and Biogeography,Hybrid,USD,4300
1471-0374,Global Networks,Hybrid,USD,3000
1758-5899,Global Policy,Hybrid,USD,2800
2042-5805,Global Strategy Journal,Hybrid,USD,3000
1468-0491,Governance,Hybrid,USD,3300
1365-2494,Grass and Forage Science,Hybrid,USD,2500
1744-697X,Grassland Science,Hybrid,USD,2500
2152-3878,Greenhouse Gases: Science and Technology,Hybrid,USD,2500
1745-6584,Ground Water,Hybrid,USD,3000
1745-6592,Ground Water Monitoring & Remediation,Hybrid,USD,3000
1468-2257,Growth and Change,Hybrid,USD,2500
1365-2516,Haemophilia,Hybrid,USD,4300
1552-146X,Hastings Center Report - The,Hybrid,USD,3000
1097-0347,Head & Neck,Hybrid,USD,4300
1526-4610,Headache,Hybrid,USD,3000
1365-2524,Health and Social Care in the Community,Hybrid,USD,4200
1099-1050,Health Economics,Hybrid,USD,4200
1471-1842,Health Information and Libraries Journal,Hybrid,USD,3000
2201-1617,Health Promotion Journal of Australia,Hybrid,USD,3000
1475-6773,Health Services Research,Hybrid,USD,3300
1523-1496,Heat Transfer-Asian Research,Hybrid,USD,2500
1523-5378,Helicobacter,Hybrid,USD,2500
1522-2675,Helvetica Chimica Acta,Hybrid,USD,2500
1099-1069,Hematological Oncology,Hybrid,USD,3500
1542-4758,Hemodialysis International,Hybrid,USD,3100
1527-3350,Hepatology,Hybrid,USD,2000
1872-034X,Hepatology Research,Hybrid,USD,3100
1098-1071,Heteroatom Chemistry,Hybrid,USD,2500
1468-2265,Heythrop Journal - The,Hybrid,USD,3000
2470-6981,High Frequency,Hybrid,USD,3000
1468-2273,Higher Education Quarterly,Hybrid,USD,2500
1098-1063,Hippocampus,Hybrid,USD,4100
1365-2559,Histopathology,Hybrid,USD,4100
1540-6563,Historian - The,Hybrid,USD,3000
1468-2281,Historical Research,Hybrid,USD,3000
1468-229X,History,Hybrid,USD,3000
1468-2303,History and Theory,Hybrid,USD,3000
1478-0542,History Compass,Hybrid,USD,2500
1468-1293,HIV Medicine,Hybrid,USD,3000
2059-1101,Howard Journal of Crime and Justice - The,Hybrid,USD,3000
1097-0193,Human Brain Mapping,Hybrid,USD,4500
1520-6564,Human Factors and Ergonomics in Manufacturing & Service Industries,Hybrid,USD,2500
1098-1004,Human Mutation,Hybrid,USD,4500
1099-1077,Human Psychopharmacology: Clinical and Experimental,Hybrid,USD,3400
1748-8583,Human Resource Management Journal,Hybrid,USD,3100
1099-1085,Hydrological Processes,Hybrid,USD,4200
1527-2001,Hypatia,Hybrid,USD,3000
1474-919X,Ibis,Hybrid,USD,3000
1600-065X,Immunological Reviews,Hybrid,USD,4300
1365-2567,Immunology,Hybrid,USD,3000
1440-1711,Immunology and Cell Biology  ,Hybrid,USD,3000
2510-5345,Immunomedicine,Hybrid,USD,3000
1600-0668,Indoor Air,Hybrid,USD,4300
1468-2338,Industrial Relations Journal,Hybrid,USD,2500
1532-7078,Infancy,Hybrid,USD,3000
1522-7219,Infant and Child Development,Hybrid,USD,2500
1097-0355,Infant Mental Health Journal,Hybrid,USD,3000
"1750-4740
(Print only)",infocus Magazine,Hybrid,USD,3000
1365-2575,Information Systems Journal,Hybrid,USD,3900
1752-4598,Insect Conservation and Diversity,Hybrid,USD,3000
1365-2583,Insect Molecular Biology,Hybrid,USD,3000
1744-7917,Insect Science,Hybrid,USD,3000
1551-3793,Integrated Environmental Assessment and Management,Hybrid,USD,3000
1749-4877,Integrative Zoology,Hybrid,USD,3600
1099-1174,"Intelligent Systems in Accounting, Finance & Management",Hybrid,USD,2500
1445-5994,Internal Medicine Journal,Hybrid,USD,2500
1875-595X,International Dental Journal,Hybrid,USD,2900
1468-2354,International Economic Review,Hybrid,USD,3000
1365-2591,International Endodontic Journal,Hybrid,USD,3700
1468-2362,International Finance,Hybrid,USD,2500
2042-6984,International Forum on Allergy & Rhinology,Hybrid,USD,3000
1099-1107,International Insolvency Review,Hybrid,USD,3000
1096-9853,International Journal for Numerical and Analytical Methods in Geomechanics,Hybrid,USD,3700
2040-7947,International Journal for Numerical Methods in Biomedical Engineering,Hybrid,USD,3800
1097-0207,International Journal for Numerical Methods in Engineering,Hybrid,USD,3800
1097-0363,International Journal for Numerical Methods in Fluids,Hybrid,USD,3600
1099-1115,International Journal of Adaptive Control and Signal Processing,Hybrid,USD,2500
1744-7402,International Journal of Applied Ceramic Technology,Hybrid,USD,3000
2041-1294,International Journal of Applied Glass Science,Hybrid,USD,3000
1473-4192,International Journal of Applied Linguistics,Hybrid,USD,2500
1556-9187,International Journal of Applied Psychoanalytic Studies,Hybrid,USD,2500
1476-8070,International Journal of Art & Design Education - The,Hybrid,USD,3000
1099-1123,International Journal of Auditing,Hybrid,USD,2500
1097-0215,International Journal of Cancer,Hybrid,USD,3900
1097-4601,International Journal of Chemical Kinetics,Hybrid,USD,3100
1097-007X,International Journal of Circuit Theory and Applications,Hybrid,USD,3500
1097-0088,International Journal of Climatology,Hybrid,USD,3000
1742-1241,International Journal of Clinical Practice,Hybrid,USD,4500
1099-1131,International Journal of Communication Systems,Hybrid,USD,2500
1470-6431,International Journal of Consumer Studies,Hybrid,USD,2500
1468-2494,International Journal of Cosmetic Science,Hybrid,USD,3000
1471-0307,International Journal of Dairy Technology,Hybrid,USD,3000
1601-5037,International Journal of Dental Hygiene,Hybrid,USD,2700
1365-4632,International Journal of Dermatology,Hybrid,USD,3100
1098-108X,International Journal of Eating Disorders,Hybrid,USD,3700
1099-114X,International Journal of Energy Research,Hybrid,USD,2500
1365-2613,International Journal of Experimental Pathology,Hybrid,USD,3400
1099-1158,International Journal of Finance & Economics,Hybrid,USD,2500
1365-2621,International Journal of Food Science & Technology,Hybrid,USD,3300
1099-1166,International Journal of Geriatric Psychiatry,Hybrid,USD,4100
1879-3479,International Journal of Gynecology & Obstetrics,Hybrid,USD,3000
1099-1751,International Journal of Health Planning and Management - The,Hybrid,USD,2900
1098-1098,International Journal of Imaging Systems and Technology,Hybrid,USD,2500
1744-313X,International Journal of Immunogenetics,Hybrid,USD,2500
1098-111X,International Journal of Intelligent Systems,Hybrid,USD,2500
1475-6781,International Journal of Japanese Sociology,Hybrid,USD,2500
1751-553X,International Journal of Laboratory Hematology,Hybrid,USD,3100
1460-6984,International Journal of Language & Communication Disorders,Hybrid,USD,3000
1468-2370,International Journal of Management Reviews,Hybrid,USD,3300
1478-596X,International Journal of Medical Robotics and Computer Assisted Surgery - The,Hybrid,USD,2500
1447-0349,International Journal of Mental Health Nursing,Hybrid,USD,3700
1557-0657,International Journal of Methods in Psychiatric Research,Hybrid,USD,2500
1095-9270,International Journal of Nautical Archaeology - The,Hybrid,USD,3000
1099-1190,International Journal of Network Management,Hybrid,USD,2500
1479-103X,International Journal of Nonprofit and Voluntary Sector Marketing,Hybrid,USD,2500
1099-1204,"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",Hybrid,USD,2500
2047-3095,International Journal of Nursing Knowledge,Hybrid,USD,3000
1440-172X,International Journal of Nursing Practice,Hybrid,USD,3000
1748-3743,International Journal of Older People Nursing,Hybrid,USD,2500
1099-1212,International Journal of Osteoarchaeology,Hybrid,USD,2500
1365-263X,International Journal of Paediatric Dentistry,Hybrid,USD,3300
2042-7174,International Journal of Pharmacy Practice,Hybrid,USD,3000
1464-066X,International Journal of Psychology,Hybrid,USD,3000
1097-461X,International Journal of Quantum Chemistry,Hybrid,USD,3800
1099-047X,International Journal of RF and Microwave Computer-Aided Engineering,Hybrid,USD,2500
1756-185X,International Journal of Rheumatic Diseases,Hybrid,USD,3100
1099-1239,International Journal of Robust and Nonlinear Control,Hybrid,USD,2500
1542-0981,International Journal of Satellite Communications and Networking,Hybrid,USD,3500
1468-2389,International Journal of Selection and Assessment,Hybrid,USD,2500
1468-2397,International Journal of Social Welfare,Hybrid,USD,3000
1468-2400,International Journal of Systematic Theology,Hybrid,USD,2500
1522-1970,International Journal of Tourism Research,Hybrid,USD,2500
1468-2419,International Journal of Training and Development,Hybrid,USD,2500
1468-2427,International Journal of Urban and Regional Research,Hybrid,USD,3300
1749-771X,International Journal of Urological Nursing,Hybrid,USD,3000
1442-2042,International Journal of Urology,Hybrid,USD,3300
1564-913X,International Labour Review,Hybrid,USD,2500
1468-2435,International Migration,Hybrid,USD,2500
1466-7657,International Nursing Review,Hybrid,USD,3000
1468-2443,International Review of Finance,Hybrid,USD,2500
1522-2632,International Review of Hydrobiology,Hybrid,USD,2500
1758-6631,International Review of Mission,Hybrid,USD,3000
1468-2451,International Social Science Journal,Hybrid,USD,2500
1468-246X,International Social Security Review,Hybrid,USD,2500
1751-5823,International Statistical Review,Hybrid,USD,3900
1475-3995,International Transactions in Operational Research,Hybrid,USD,2800
2050-7038,International Transactions on Electrical Energy Systems,Hybrid,USD,2500
1742-481X,International Wound Journal,Hybrid,USD,4100
1748-1090,International Zoo Yearbook,Hybrid,USD,3000
1744-7410,Invertebrate Biology,Hybrid,USD,3000
1531-0361,Irrigation and Drainage,Hybrid,USD,3000
1751-2824,ISBT Science Series,Hybrid,USD,3000
1440-1738,Island Arc,Hybrid,USD,2500
1869-5868,Israel Journal of Chemistry (Electronic),Hybrid,USD,3000
1521-6551,IUBMB Life,Hybrid,USD,3000
1742-7924,Japan Journal of Nursing Science,Hybrid,USD,2500
1468-5965,JCMS: Journal of Common Market Studies,Hybrid,USD,3200
1610-0387,JDDG - Journal der Deutschen Dermatologischen Gesellschaft,Hybrid,USD,3000
1754-0208,Journal for Eighteenth-Century Studies,Hybrid,USD,3000
1744-6155,Journal for Specialists in Pediatric Nursing,Hybrid,USD,2500
1468-5906,Journal for the Scientific Study of Religion,Hybrid,USD,3000
1468-5914,Journal for the Theory of Social Behaviour,Hybrid,USD,2500
2161-1874,Journal of Addictions & Offender Counseling,Hybrid,USD,3000
1936-2706,Journal of Adolescent & Adult Literacy,Hybrid,USD,3000
1365-2648,Journal of Advanced Nursing,Hybrid,USD,4200
1540-6245,Journal of Aesthetics and Art Criticism - The,Hybrid,USD,3000
1471-0366,Journal of Agrarian Change,Hybrid,USD,2500
1477-9552,Journal of Agricultural Economics,Hybrid,USD,3000
1439-037X,Journal of Agronomy and Crop Science,Hybrid,USD,3600
1542-734X,Journal of American Culture - The,Hybrid,USD,3000
1468-5922,Journal of Analytical Psychology,Hybrid,USD,3000
1469-7580,Journal of Anatomy,Hybrid,USD,3000
1439-0388,Journal of Animal Breeding and Genetics,Hybrid,USD,3700
1365-2656,Journal of Animal Ecology,Hybrid,USD,3000
1439-0396,Journal of Animal Physiology and Animal Nutrition ,Hybrid,USD,3500
1938-3703,Journal of Applied Behavior Analysis,Hybrid,USD,3000
1751-9861,Journal of Applied Biobehavioral Research,Hybrid,USD,2500
1745-6622,Journal of Applied Corporate Finance,Hybrid,USD,3000
1600-5767,Journal of Applied Crystallography,Hybrid,USD,3000
1365-2664,Journal of Applied Ecology,Hybrid,USD,3000
1099-1255,Journal of Applied Econometrics,Hybrid,USD,2500
1439-0418,Journal of Applied Entomology,Hybrid,USD,2500
1439-0426,Journal of Applied Ichthyology,Hybrid,USD,2900
1365-2672,Journal of Applied Microbiology,Hybrid,USD,3000
1468-5930,Journal of Applied Philosophy,Hybrid,USD,3000
1097-4628,Journal of Applied Polymer Science,Hybrid,USD,3600
1468-3148,Journal of Applied Research in Intellectual Disabilities,Hybrid,USD,3100
1559-1816,Journal of Applied Social Psychology,Hybrid,USD,2500
1099-1263,Journal of Applied Toxicology,Hybrid,USD,4100
 1548-8667,Journal of Aquatic Animal Health,Hybrid,USD,3000
1600-048X,Journal of Avian Biology,Hybrid,USD,2000
1521-4028,Journal of Basic Microbiology,Hybrid,USD,2500
1099-0771,Journal of Behavioral Decision Making,Hybrid,USD,3200
1099-0461,Journal of Biochemical and Molecular Toxicology,Hybrid,USD,3500
1365-2699,Journal of Biogeography,Hybrid,USD,4200
1552-4965,Journal of Biomedical Materials Research Part A,Hybrid,USD,3750
1552-4981,Journal of Biomedical Materials Research Part B: Applied Biomaterials,Hybrid,USD,2500
1864-0648,Journal of Biophotonics,Hybrid,USD,4400
1523-4681,Journal of Bone and Mineral Research,Hybrid,USD,3000
1468-5957,Journal of Business Finance & Accounting,Hybrid,USD,2500
2158-1592,Journal of Business Logistics,Hybrid,USD,3000
1540-8191,Journal of Cardiac Surgery,Hybrid,USD,2700
1540-8167,Journal of Cardiovascular Electrophysiology,Hybrid,USD,3900
1097-4644,Journal of Cellular Biochemistry,Hybrid,USD,4000
1097-4652,Journal of Cellular Physiology,Hybrid,USD,4200
1097-4660,Journal of Chemical Technology & Biotechnology,Hybrid,USD,3800
1099-128X,Journal of Chemometrics,Hybrid,USD,3900
1744-6171,Journal of Child and Adolescent Psychiatric Nursing,Hybrid,USD,2500
1469-7610,Journal of Child Psychology and Psychiatry,Hybrid,USD,3800
1540-6253,Journal of Chinese Philosophy,Hybrid,USD,3000
1098-1101,Journal of Clinical Apheresis,Hybrid,USD,3100
1751-7176,Journal of Clinical Hypertension - The,Hybrid,USD,3800
1098-2825,Journal of Clinical Laboratory Analysis,Hybrid,USD,2500
1365-2702,Journal of Clinical Nursing,Hybrid,USD,4000
1600-051X,Journal of Clinical Periodontology,Hybrid,USD,4200
1552-4604,Journal of Clinical Pharmacology - The,Hybrid,USD,3000
1365-2710,Journal of Clinical Pharmacy and Therapeutics,Hybrid,USD,3100
1097-4679,Journal of Clinical Psychology,Hybrid,USD,2500
1097-0096,Journal of Clinical Ultrasound,Hybrid,USD,2500
2161-1882,Journal of College Counseling,Hybrid,USD,3000
1520-6610,Journal of Combinatorial Designs,Hybrid,USD,2500
1099-1298,Journal of Community & Applied Social Psychology,Hybrid,USD,2800
1520-6629,Journal of Community Psychology,Hybrid,USD,2800
1096-9861,Journal of Comparative Neurology - The,Hybrid,USD,4300
1096-987X,Journal of Computational Chemistry,Hybrid,USD,4300
1365-2729,Journal of Computer Assisted Learning,Hybrid,USD,3200
1745-6606,Journal of Consumer Affairs,Hybrid,USD,3000
1479-1838,Journal of Consumer Behaviour,Hybrid,USD,2500
1936-704X,Journal of Contemporary Water Research & Education,Hybrid,USD,3000
1468-5973,Journal of Contingencies and Crisis Management,Hybrid,USD,2500
1473-2165,Journal of Cosmetic Dermatology,Hybrid,USD,2700
1556-6676,Journal of Counseling & Development,Hybrid,USD,3000
2162-6057,Journal of Creative Behavior - The,Hybrid,USD,3000
1600-0560,Journal of Cutaneous Pathology,Hybrid,USD,3100
1346-8138,Journal of Dermatology - The,Hybrid,USD,3300
1753-0407,Journal of Diabetes,Hybrid,USD,3000
1751-2980,Journal of Digestive Diseases,Hybrid,USD,2900
1365-2745,Journal of Ecology,Hybrid,USD,3000
1467-6419,Journal of Economic Surveys,Hybrid,USD,2500
1530-9134,Journal of Economics & Management Strategy,Hybrid,USD,2800
1740-1461,Journal of Empirical Legal Studies,Hybrid,USD,3000
2161-1920,Journal of Employment Counseling,Hybrid,USD,3000
1708-8240,Journal of Esthetic and Restorative Dentistry,Hybrid,USD,2500
1550-7408,Journal of Eukaryotic Microbiology - The,Hybrid,USD,3000
1365-2753,Journal of Evaluation in Clinical Practice,Hybrid,USD,3600
1756-5391,Journal of Evidence-Based Medicine,Hybrid,USD,2500
1420-9101,Journal of Evolutionary Biology,Hybrid,USD,3000
1932-5231,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,Hybrid,USD,3900
1552-5015,Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,Hybrid,USD,2500
1756-2589,Journal of Family Theory & Review,Hybrid,USD,3000
1467-6427,Journal of Family Therapy,Hybrid,USD,3000
1557-9263,Journal of Field Ornithology,Hybrid,USD,3000
1556-4967,Journal of Field Robotics,Hybrid,USD,3800
1475-6803,Journal of Financial Research - The,Hybrid,USD,3000
1095-8649,Journal of Fish Biology,Hybrid,USD,3000
1365-2761,Journal of Fish Diseases,Hybrid,USD,4200
1753-318X,Journal of Flood Risk Management,Hybrid,USD,3300
1745-4514,Journal of Food Biochemistry,Hybrid,USD,2500
1745-4530,Journal of Food Process Engineering,Hybrid,USD,2500
1745-4549,Journal of Food Processing and Preservation,Hybrid,USD,2500
1745-4565,Journal of Food Safety,Hybrid,USD,2500
1750-3841,Journal of Food Science,Hybrid,USD,3000
1099-131X,Journal of Forecasting,Hybrid,USD,2500
1556-4029,Journal of Forensic Sciences,Hybrid,USD,3000
1096-9934,Journal of Futures Markets,Hybrid,USD,2500
1440-1746,Journal of Gastroenterology and Hepatology,Hybrid,USD,4000
1521-2254,Journal of Gene Medicine - The,Hybrid,USD,2500
2169-8996,Journal of Geophysical Research: Atmospheres,Hybrid,USD,3500
2169-8961,Journal of Geophysical Research: Biogeosciences,Hybrid,USD,3500
2169-9011,Journal of Geophysical Research: Earth Surface,Hybrid,USD,3500
2169-9291,Journal of Geophysical Research: Oceans,Hybrid,USD,3500
2169-9100,Journal of Geophysical Research: Planets,Hybrid,USD,3500
2169-9356,Journal of Geophysical Research: Solid Earth,Hybrid,USD,3500
2169-9402,Journal of Geophysical Research: Space Physics,Hybrid,USD,3500
1097-0118,Journal of Graph Theory,Hybrid,USD,2500
1868-6982,Journal of Hepato-Biliary-Pancreatic Sciences,Hybrid,USD,3000
1943-5193,Journal of Heterocyclic Chemistry,Hybrid,USD,2500
1467-6443,Journal of Historical Sociology,Hybrid,USD,2500
1365-277X,Journal of Human Nutrition and Dietetics,Hybrid,USD,3400
2161-1939,Journal of Humanistic Counseling - The,Hybrid,USD,3000
1530-9290,Journal of Industrial Ecology,Hybrid,USD,3000
1467-6451,Journal of Industrial Economics,Hybrid,USD,2900
1744-7909,Journal of Integrative Plant Biology,Hybrid,USD,2500
1365-2788,Journal of Intellectual Disability Research,Hybrid,USD,3300
1939-1668,Journal of Interior Design,Hybrid,USD,3000
1365-2796,Journal of Internal Medicine,Hybrid,USD,4200
1099-1328,Journal of International Development,Hybrid,USD,2700
1467-646X,Journal of International Financial Management & Accounting,Hybrid,USD,2500
1540-8183,Journal of Interventional Cardiology,Hybrid,USD,2500
2041-1626,Journal of Investigative and Clinical Dentistry,Hybrid,USD,2500
1544-4767,Journal of Investigative Psychology and Offender Profiling,Hybrid,USD,2500
1099-1344,Journal of Labelled Compounds and Radiopharmaceuticals,Hybrid,USD,3300
1935-4940,Journal of Latin American and Caribbean Anthropology,Hybrid,USD,3000
1467-6478,Journal of Law and Society,Hybrid,USD,2500
1744-1722,Journal of Legal Studies Education,Hybrid,USD,3000
1938-3673,Journal of Leukocyte Biology,Hybrid,USD,2500
1548-1395,Journal of Linguistic Anthropology,Hybrid,USD,3000
1522-2586,Journal of Magnetic Resonance Imaging,Hybrid,USD,3500
1467-6486,Journal of Management Studies,Hybrid,USD,3300
1752-0606,Journal of Marital and Family Therapy,Hybrid,USD,3000
1741-3737,Journal of Marriage and Family,Hybrid,USD,3000
1096-9888,Journal of Mass Spectrometry,Hybrid,USD,3700
1754-9485,Journal of Medical Imaging and Radiation Oncology,Hybrid,USD,2700
1600-0684,Journal of Medical Primatology,Hybrid,USD,2500
1096-9071,Journal of Medical Virology,Hybrid,USD,3400
1525-1314,Journal of Metamorphic Geology,Hybrid,USD,2500
1365-2818,Journal of Microscopy,Hybrid,USD,4300
1542-2011,Journal of Midwifery and Women's Health - The,Hybrid,USD,3000
1099-1352,Journal of Molecular Recognition,Hybrid,USD,3300
1538-4616,"Journal of Money, Credit and Banking",Hybrid,USD,3000
1097-4687,Journal of Morphology,Hybrid,USD,2500
1099-1360,Journal of Multi-Criteria Decision Analysis,Hybrid,USD,2500
2161-1912,Journal of Multicultural Counseling and Development,Hybrid,USD,3000
1471-4159,Journal of Neurochemistry,Hybrid,USD,3000
1365-2826,Journal of Neuroendocrinology,Hybrid,USD,3900
1552-6569,Journal of Neuroimaging,Hybrid,USD,3100
1748-6653,Journal of Neuropsychology,Hybrid,USD,2500
1097-4547,Journal of Neuroscience Research,Hybrid,USD,3300
1365-2834,Journal of Nursing Management,Hybrid,USD,3000
1547-5069,Journal of Nursing Scholarship,Hybrid,USD,2000
1447-0756,Journal of Obstetrics and Gynaecology Research,Hybrid,USD,2700
2044-8325,Journal of Occupational and Organizational Psychology,Hybrid,USD,2500
1600-0714,Journal of Oral Pathology & Medicine,Hybrid,USD,3500
1365-2842,Journal of Oral Rehabilitation,Hybrid,USD,3600
1099-1379,Journal of Organizational Behavior,Hybrid,USD,3200
1554-527X,Journal of Orthopaedic Research,Hybrid,USD,3000
1440-1754,Journal of Paediatrics and Child Health,Hybrid,USD,3300
1941-2444,Journal of Parenteral and Enteral Nutrition,Hybrid,USD,3000
1096-9896,Journal of Pathology - The,Hybrid,USD,3600
1099-1387,Journal of Peptide Science,Hybrid,USD,3500
1600-0765,Journal of Periodontal Research,Hybrid,USD,3600
1943-3670,Journal of Periodontology,Hybrid,USD,3000
1467-6494,Journal of Personality,Hybrid,USD,2500
1747-5457,Journal of Petroleum Geology,Hybrid,USD,3000
1759-8893,Journal of Pharmaceutical Health Services Research,Hybrid,USD,3000
2042-7158,Journal of Pharmacy and Pharmacology,Hybrid,USD,3300
2055-2335,Journal of Pharmacy Practice and Research,Hybrid,USD,2500
1467-9752,Journal of Philosophy of Education,Hybrid,USD,3000
1529-8817,Journal of Phycology,Hybrid,USD,3000
1099-1395,Journal of Physical Organic Chemistry,Hybrid,USD,3300
1469-7793,Journal of Physiology,Hybrid,USD,3950
1439-0434,Journal of Phytopathology,Hybrid,USD,2900
1600-079X,Journal of Pineal Research,Hybrid,USD,3800
1522-2624,Journal of Plant Nutrition and Soil Science,Hybrid,USD,2500
1520-6688,Journal of Policy Analysis and Management,Hybrid,USD,3000
1741-1130,Journal of Policy and Practice in Intellectual Disabilities,Hybrid,USD,3000
1467-9760,Journal of Political Philosophy,Hybrid,USD,2500
1099-0518,Journal of Polymer Science Part A: Polymer Chemistry,Hybrid,USD,2500
1099-0488,Journal of Polymer Science Part B: Polymer Physics,Hybrid,USD,2500
1540-5931,Journal of Popular Culture - The,Hybrid,USD,3000
1540-5885,Journal of Product Innovation Management,Hybrid,USD,3000
1532-849X,Journal of Prosthodontics,Hybrid,USD,2500
1365-2850,Journal of Psychiatric and Mental Health Nursing,Hybrid,USD,3300
1479-1854,Journal of Public Affairs,Hybrid,USD,2500
1467-9779,Journal of Public Economic Theory,Hybrid,USD,2500
1752-7325,Journal of Public Health Dentistry,Hybrid,USD,3100
1099-1417,Journal of Quaternary Science,Hybrid,USD,3000
1097-4555,Journal of Raman Spectroscopy,Hybrid,USD,4200
1467-9787,Journal Of Regional Science,Hybrid,USD,3100
1467-9795,Journal of Religious Ethics,Hybrid,USD,3000
1467-9809,Journal of Religious History,Hybrid,USD,2500
1755-6686,Journal of Renal Care,Hybrid,USD,3000
1467-9817,Journal of Research in Reading,Hybrid,USD,3000
1098-2736,Journal of Research in Science Teaching,Hybrid,USD,3300
1471-3802,Journal of Research in Special Educational Needs,Hybrid,USD,3000
1532-7795,Journal of Research on Adolescence,Hybrid,USD,3000
1539-6975,Journal of Risk and Insurance,Hybrid,USD,3000
1748-0361,Journal of Rural Health - The,Hybrid,USD,3000
1746-1561,Journal of School Health,Hybrid,USD,3000
1745-459X,Journal of Sensory Studies,Hybrid,USD,2500
1615-9314,Journal of Separation Science,Hybrid,USD,3500
1365-2869,Journal of Sleep Research,Hybrid,USD,3500
1748-5827,Journal of Small Animal Practice,Hybrid,USD,3000
1540-627X,Journal of Small Business Management,Hybrid,USD,3000
1467-9833,Journal of Social Philosophy,Hybrid,USD,2500
1467-9841,Journal of Sociolinguistics,Hybrid,USD,2500
2047-7481,Journal of Software: Evolution and Process,Hybrid,USD,2500
1745-493X,Journal of Supply Chain Management,Hybrid,USD,3000
1558-9293,Journal of Surfactants and Detergents,Hybrid,USD,3000
1096-9098,Journal of Surgical Oncology,Hybrid,USD,4200
1600-5775,Journal of Synchroton Radiation,Hybrid,USD,3000
1674-4918,Journal of Systematics and Evolution,Hybrid,USD,3000
1745-4603,Journal of Texture Studies,Hybrid,USD,2500
1551-2916,Journal of the American Ceramic Society,Hybrid,USD,3000
1532-5415,Journal of the American Geriatrics Society - The,Hybrid,USD,4300
1558-9331,Journal of The American Oil Chemists' Society,Hybrid,USD,3000
1752-1688,Journal of the American Water Resources Association,Hybrid,USD,3000
2330-1643,Journal of the Association for Information Science and Technology,Hybrid,USD,3000
2192-6549,Journal of the Chinese Chemical Society (Electronic),Hybrid,USD,3000
1468-3083,Journal of the European Academy of Dermatology and Venereology,Hybrid,USD,3000
1938-3711,Journal of the Experimental Analysis of Behavior,Hybrid,USD,3000
1520-6696,Journal of the History of the Behavioral Sciences,Hybrid,USD,3100
2050-0416,Journal of the Institute of Brewing,Hybrid,USD,3000
